customer_id,age,gender,city,tenure_months,avg_order_value,total_orders,last_purchase_days_ago,support_tickets,subscription_type,churn,churn_probability,churn_actual,risk_band
113581,23,Female,Mumbai,46,3121,358,21,13,Silver,0,0.0,0,Low
268704,58,Female,Pune,50,3071,121,328,22,Silver,1,0.0,1,Low
208554,45,Female,Chennai,96,6174,323,429,11,Gold,1,0.0,1,Low
179499,34,Female,Delhi,105,5861,278,663,31,Basic,0,0.0,0,Low
133296,45,Female,Delhi,19,8062,153,445,38,Gold,1,0.0,1,Low
101848,24,Male,Bangalore,47,5125,326,235,35,Silver,0,0.0,0,Low
114487,65,Female,Bangalore,101,9643,232,289,19,Silver,0,0.0,0,Low
257280,28,Female,Delhi,115,4022,354,700,6,Basic,1,0.0,1,Low
105143,29,Female,Delhi,96,9015,299,348,5,Silver,0,0.0,0,Low
196343,41,Female,Kolkata,55,7100,332,464,4,Silver,0,0.0,0,Low
281723,57,Female,Pune,58,8489,364,431,35,Silver,0,0.0,0,Low
183479,62,Female,Bangalore,78,8014,212,717,1,Silver,1,0.0,1,Low
165306,32,Female,Pune,19,2220,142,104,40,Gold,0,0.0,0,Low
242745,49,Female,Mumbai,77,4838,424,205,45,Platinum,1,0.0,1,Low
211765,52,Male,Kolkata,20,4752,181,28,30,Silver,1,0.0,1,Low
133697,65,Male,Kolkata,26,4136,189,508,26,Silver,1,0.0,1,Low
280450,49,Female,Delhi,14,3031,209,344,1,Platinum,1,0.0,1,Low
266157,41,Female,Delhi,25,7432,486,712,47,Basic,1,0.0,1,Low
226130,35,Female,Hyderabad,38,9197,411,150,37,Silver,0,0.0,0,Low
175225,29,Female,Hyderabad,66,6308,28,455,6,Gold,0,6.323990327419239e-248,0,Low
145369,40,Female,Mumbai,5,8094,75,394,16,Basic,0,0.0,0,Low
140037,31,Female,Hyderabad,101,1069,155,619,23,Basic,1,1.658926956461677e-203,1,Low
287324,28,Female,Delhi,7,3345,381,250,42,Basic,1,0.0,1,Low
258905,52,Female,Mumbai,46,5721,360,348,19,Platinum,0,0.0,0,Low
147047,21,Male,Kolkata,18,3534,74,501,22,Basic,0,0.0,0,Low
149451,45,Male,Mumbai,94,3195,332,362,21,Basic,0,0.0,0,Low
220944,39,Female,Mumbai,18,7071,493,651,34,Platinum,0,0.0,0,Low
293294,58,Female,Pune,21,3615,329,639,43,Gold,1,0.0,1,Low
260108,49,Female,Kolkata,78,1364,217,95,34,Basic,0,0.0,0,Low
109693,64,Female,Hyderabad,106,3518,338,107,5,Basic,0,0.0,0,Low
237284,50,Female,Mumbai,111,3919,264,135,27,Gold,0,0.0,0,Low
150342,61,Female,Bangalore,28,7655,368,560,19,Silver,1,0.0,1,Low
244719,26,Female,Kolkata,110,6428,157,184,14,Basic,0,0.0,0,Low
108824,69,Female,Pune,25,2227,494,650,32,Silver,1,0.0,1,Low
247564,35,Male,Chennai,17,8347,106,317,44,Gold,1,0.0,1,Low
298937,51,Male,Bangalore,108,4063,497,288,8,Basic,0,0.0,0,Low
198741,49,Female,Pune,117,1507,137,492,36,Silver,0,0.0,0,Low
208238,44,Male,Chennai,43,2227,47,110,48,Silver,0,2.2359176341636007e-176,0,Low
297251,60,Male,Hyderabad,91,4357,65,26,10,Basic,1,0.0,1,Low
240821,45,Female,Bangalore,103,8569,427,416,22,Basic,1,0.0,1,Low
286219,51,Female,Pune,56,8555,256,22,46,Basic,0,0.0,0,Low
113937,56,Female,Chennai,11,2181,100,672,16,Basic,1,5.469314431672873e-246,1,Low
213276,38,Male,Chennai,66,8801,81,396,37,Basic,0,0.0,0,Low
231559,33,Female,Kolkata,64,1273,339,421,5,Basic,0,0.0,0,Low
266991,30,Male,Hyderabad,4,8569,180,56,46,Silver,1,0.0,1,Low
124307,26,Male,Bangalore,35,3234,144,683,40,Silver,0,0.0,0,Low
126382,34,Male,Bangalore,101,6627,15,682,27,Basic,1,3.234910465885848e-47,1,Low
149540,52,Female,Bangalore,52,1693,95,681,2,Silver,1,2.0450994397173437e-173,1,Low
238182,44,Female,Pune,78,3303,81,127,22,Silver,0,0.0,0,Low
130395,45,Male,Mumbai,89,1048,140,478,40,Basic,1,8.33280972194862e-192,1,Low
205710,69,Female,Pune,78,2879,28,74,43,Platinum,0,2.100537874113774e-142,0,Low
